start_idx,end_idx,regime,xgb_return,bh_return,difference,num_trades,num_long,num_short,win_rate,win_rate_long,win_rate_short,sharpe,max_dd
0,1440,Sideways,-3.083489264368491,2.270613143709525,-5.354102408078016,31,2,29,45.16129032258064,50.0,44.827586206896555,-1.7032671509773882,4.085973717858249
1440,2880,Sideways,2.620005637768045,-2.0224330193216757,4.642438657089721,30,2,28,50.0,100.0,46.42857142857143,2.897892877794303,1.8647771124314916
2880,4320,Sideways,7.726346902458609,-0.5914351004940368,8.317782002952645,30,2,28,60.0,100.0,57.14285714285714,5.9088920144621175,1.3800907011491372
4320,5760,Bear,2.6543384781034183,-4.493761894214929,7.148100372318347,30,1,29,66.66666666666666,100.0,65.51724137931035,3.3356518069499423,2.7187521128442227
5760,7200,Bear,0.7245697492575891,-3.5276730419637223,4.252242791221311,30,2,28,40.0,50.0,39.285714285714285,1.592703394058539,2.139458989791975
7200,8640,Sideways,0.4187523553623578,2.1740653023939758,-1.755312947031618,31,3,28,54.83870967741935,100.0,50.0,1.4093030323830735,2.5339230270501076
8640,10080,Bull,-3.4000978734999263,3.882065420730484,-7.28216329423041,31,1,30,38.70967741935484,100.0,36.666666666666664,-2.6774524891050295,3.953700062529464
10080,11520,Sideways,-1.4538846136550636,1.8614519495474038,-3.315336563202467,31,2,29,54.83870967741935,100.0,51.724137931034484,-0.21616705645053919,2.240739661575264
11520,12960,Sideways,-0.05578189041798396,-1.1782215588216938,1.12243966840371,29,0,29,44.827586206896555,0.0,44.827586206896555,2.2633299797851345,1.548818845221161
12960,14400,Bear,1.1757228119412684,-5.201186834529879,6.376909646471147,29,2,27,41.37931034482759,0.0,44.44444444444444,2.363597081364101,1.8636298160630185
14400,15840,Bull,-7.620493608814723,7.248375460768837,-14.86886906958356,32,0,32,25.0,0.0,25.0,-6.892238216607537,8.035687901857662
