window,total_trades,long_trades,short_trades,win_rate,window_return,starting_capital,ending_capital,ml_exit_rate,sl_exits,max_hold_exits
0,18,6,12,77.77777777777779,10.032433215826513,10000.0,11003.243321582651,100.0,0,0
1,41,32,9,43.90243902439025,3.957833047477989,11003.243321582651,11438.733322058664,100.0,0,0
2,16,6,10,37.5,0.3134800119883776,11438.733322058664,11474.591464647972,100.0,0,0
3,27,12,15,51.85185185185185,5.687482205310158,11474.591464647972,12127.206812331864,100.0,0,0
4,15,12,3,60.0,6.912170191647029,12127.206812331864,12965.459986693255,100.0,0,0
5,16,10,6,50.0,1.0495862508877067,12965.459986693255,13101.543672077934,100.0,0,0
6,10,4,6,80.0,16.69930244286136,13101.543672077934,15289.410074561792,90.0,0,1
7,6,2,4,83.33333333333334,9.142826832021129,15289.410074561792,16687.29436131657,83.33333333333334,0,1
8,10,8,2,80.0,3.924234619215327,16687.29436131657,17342.142943653722,100.0,0,0
9,1,1,0,100.0,1.0823950742664536,17342.142943653722,17529.853444648077,100.0,0,0
10,3,3,0,100.0,2.240559668028601,17529.853444648077,17922.620270793384,100.0,0,0
11,13,1,12,69.23076923076923,8.012749827640159,17922.620270793384,19358.71499564998,100.0,0,0
12,16,1,15,68.75,17.270963768904267,19358.71499564998,22702.151648674128,93.75,0,1
13,2,1,1,100.0,1.722172664532267,22702.151648674128,23093.121898628255,100.0,0,0
14,11,3,8,54.54545454545454,3.5048255636032963,23093.121898628255,23902.49553836545,90.9090909090909,0,1
15,6,5,1,50.0,6.1862440669583085,23902.49553836545,25381.162250462556,100.0,0,0
16,8,0,8,87.5,18.84925670761679,25381.162250462556,30165.32267842897,100.0,0,0
17,66,64,2,34.84848484848485,1.6998862225298312,30165.32267842897,30678.09884262125,100.0,0,0
18,13,4,9,84.61538461538461,24.972855133190492,30678.09884262125,38339.29602420604,100.0,0,0
19,12,3,9,75.0,17.254677606814468,38339.29602420604,44954.617949905034,100.0,0,0
20,23,7,16,30.434782608695656,8.506192579349873,44954.617949905034,48778.54432603494,100.0,0,0
21,11,10,1,36.36363636363637,8.174279085006072,48778.54432603494,52765.83867284843,100.0,0,0
22,14,12,2,50.0,10.392720744272927,52765.83867284843,58249.64493449114,100.0,0,0
23,5,5,0,100.0,9.223982925614822,58249.64493449114,63622.58223747986,80.0,0,1
24,3,1,2,66.66666666666666,2.5611265335995137,63622.58223747986,65252.03707252513,100.0,0,0
25,6,6,0,66.66666666666666,4.1790221355169335,65252.03707252513,67978.93414566167,83.33333333333334,0,1
26,8,5,3,87.5,9.724163271428996,67978.93414566167,74589.316692163,100.0,0,0
27,2,0,2,100.0,6.676246864833055,74589.316692163,79569.08360932393,100.0,0,0
28,8,7,1,100.0,9.934015394567485,79569.08360932393,87473.48862439045,87.5,0,1
29,13,2,11,92.3076923076923,21.135914524158736,87473.48862439045,105961.81041134133,100.0,0,0
30,11,11,0,36.36363636363637,11.06691057729911,105961.81041134133,117688.50921565169,100.0,0,0
31,7,6,1,85.71428571428571,17.99627002920962,117688.50921565169,138868.05112745162,71.42857142857143,0,2
32,6,1,5,83.33333333333334,4.067384090480498,138868.05112745162,144516.3481457699,83.33333333333334,1,0
33,10,8,2,80.0,20.59441605698527,144516.3481457699,174278.64615327108,90.0,0,1
34,20,5,15,70.0,37.34030638472631,174278.64615327108,239354.82659005554,100.0,0,0
35,13,7,6,84.61538461538461,132.1656006953924,239354.82659005554,555699.5709462173,100.0,0,0
36,19,11,8,100.0,62.7058340591269,555699.5709462173,904155.6217710325,100.0,0,0
37,17,9,8,100.0,49.00401330269093,904155.6217710325,1347228.162940737,94.11764705882352,0,1
38,9,7,2,100.0,28.70886001720729,1347228.162940737,1734002.0103517866,88.88888888888889,0,1
39,13,3,10,69.23076923076923,52.17298488098435,1734002.0103517866,2638682.617048589,92.3076923076923,0,1
40,7,3,4,57.14285714285714,11.766753323778216,2638682.617048589,2949169.891594112,85.71428571428571,0,1
