start_idx,end_idx,regime,xgb_return,bh_return,difference,num_trades,win_rate,sharpe,max_dd
0,1440,Sideways,-1.122616948614177,1.877632284180478,-3.000249232794655,22,31.818181818181817,1.7217418085628442,3.2252163316828355
1440,2880,Sideways,-4.117196741820116,-1.9199398516340356,-2.1972568901860807,17,29.411764705882355,-2.6790662636008635,5.826236451202893
2880,4320,Sideways,-1.6949783890303844,-0.8201022009771113,-0.8748761880532732,27,44.44444444444444,0.9721623809116083,5.284793682545991
4320,5760,Bear,-4.614225961437314,-4.476676862179103,-0.13754909925821135,22,36.36363636363637,-2.1053815841582257,6.012505396820482
5760,7200,Bear,-5.121691386121947,-2.6072446699346106,-2.5144467161873365,20,40.0,-3.87912499523695,6.408210457744657
7200,8640,Sideways,-0.2698258563686613,0.7528214993384328,-1.022647355707094,23,52.17391304347826,2.5123803307543677,2.7689520226859545
8640,10080,Bull,-1.279276726224798,3.8234243843739066,-5.102701110598705,15,53.333333333333336,1.0862910728219153,2.447105724718951
10080,11520,Sideways,-0.4511884534750061,2.123385539553733,-2.5745739930287392,13,38.46153846153847,2.5656260423356883,2.1384090012181867
11520,12960,Sideways,0.16349693304066024,-1.4139875292337014,1.5774844622743616,8,50.0,7.761864959713287,0.48030818646049805
12960,14400,Bear,-5.811323310558982,-5.472513919015698,-0.3388093915432835,25,44.0,-3.132500825480803,5.607320423913652
14400,15840,Bull,3.3081709259322087,7.132804185728906,-3.8246332597966974,12,75.0,12.916442139976755,0.36719948621452764
