window,total_trades,long_trades,short_trades,win_rate,avg_return,total_return,ml_exit_rate,sl_exits,max_hold_exits
0,72,46,26,41.66666666666667,-0.22331133455146654,-16.07841608770559,91.66666666666666,5,1
1,75,31,44,38.666666666666664,-0.14985569040878713,-11.239176780659035,94.66666666666667,2,2
2,46,28,18,43.47826086956522,-0.14863889790259868,-6.837389303519539,91.30434782608695,2,2
3,55,10,45,50.90909090909091,0.05705991865675076,3.1382955261212917,90.9090909090909,1,4
4,39,17,22,53.84615384615385,-0.05500144992720099,-2.1450565471608387,89.74358974358975,3,1
5,35,19,16,54.285714285714285,0.04762897740767273,1.6670142092685456,80.0,2,5
6,44,8,36,52.27272727272727,0.010779333078096236,0.4742906554362344,86.36363636363636,1,5
7,62,24,38,37.096774193548384,-0.3296248380001753,-20.436739956010868,90.32258064516128,4,2
8,84,40,44,40.476190476190474,-0.16173406472331453,-13.58566143675842,94.04761904761905,3,2
9,82,49,33,32.926829268292686,-0.19997642579795977,-16.3980669154327,93.90243902439023,4,1
10,47,31,16,38.297872340425535,-0.26623310074128387,-12.512955734840341,89.36170212765957,3,2
11,48,25,23,45.83333333333333,0.05964443811859458,2.86293302969254,97.91666666666666,1,0
12,33,13,20,42.42424242424242,-0.20221243827577737,-6.6730104631006535,84.84848484848484,1,4
13,30,8,22,33.33333333333333,-0.36091847237382474,-10.827554171214743,76.66666666666667,2,5
14,59,24,35,42.3728813559322,-0.2503024656956725,-14.767845476044677,89.83050847457628,4,2
15,23,6,17,26.08695652173913,-0.6590859499794928,-15.158976849528335,78.26086956521739,3,2
16,62,5,57,38.70967741935484,-0.26925776587868255,-16.693981484478318,91.93548387096774,2,3
17,88,24,64,40.909090909090914,0.024309860027984867,2.1392676824626684,93.18181818181817,6,0
18,84,52,32,33.33333333333333,-0.2711885672570023,-22.779839649588194,90.47619047619048,6,2
19,86,67,19,34.883720930232556,-0.062798860178492,-5.400701975350311,97.67441860465115,2,0
