long_threshold,short_threshold,ml_exit_long,ml_exit_short,total_return,total_trades,win_rate,avg_trade,max_drawdown,sharpe_ratio,final_capital,ml_exit_pct,avg_hold_time,composite_score
0.8,0.8,0.8,0.8,29.023874272458833,36,47.22222222222222,80.62187297905218,6.022716999588113,1.68027462646653,12902.387427245883,83.33333333333334,33.361111111111114,0.5665219701817565
0.7,0.7,0.8,0.8,26.311562429671614,42,47.61904761904761,62.64657721350392,4.581316646556399,1.6211462332007396,12631.156242967161,83.33333333333334,35.42857142857143,0.5534363349837429
0.75,0.75,0.8,0.8,24.39132777492987,42,50.0,58.07458994030921,6.054875648101863,1.471403979149252,12439.132777492987,83.33333333333334,31.5,0.5325959577184409
0.65,0.65,0.8,0.8,18.585509921520572,42,47.61904761904761,44.25121409885845,8.686581991380475,1.1647894872181468,11858.550992152057,80.95238095238095,36.666666666666664,0.46868591966323125
0.8,0.8,0.75,0.75,15.742532886823026,42,35.714285714285715,37.48222115910246,8.923730868802592,0.9792728585221628,11574.253288682303,85.71428571428571,28.785714285714285,0.4144785270904746
0.8,0.8,0.7,0.7,9.984646794617657,53,37.735849056603776,18.838956216259675,12.648370562643503,0.6049443893948628,10998.464679461766,84.90566037735849,22.50943396226415,0.3506079831058775
0.65,0.65,0.75,0.75,8.438299902760136,51,37.254901960784316,16.54568608384332,8.838344810948103,0.574172867189084,10843.829990276014,84.31372549019608,29.725490196078432,0.34800360062962143
0.6,0.6,0.75,0.75,8.371294724997224,53,35.84905660377358,15.794895707541931,9.363761308523538,0.5603767445052961,10837.129472499722,84.90566037735849,29.849056603773583,0.3424934439410186
0.8,0.8,0.65,0.65,9.498636439445308,61,34.42622950819672,15.571535146631664,13.219891008772574,0.5992564841339083,10949.86364394453,88.52459016393442,19.672131147540984,0.34033287117002037
0.7,0.7,0.75,0.75,6.709341342642692,50,34.0,13.418682685285448,8.725973597153875,0.4659946039378221,10670.93413426427,84.0,30.02,0.3239848785700452
0.75,0.75,0.75,0.75,5.34423102544768,50,36.0,10.688462050895257,8.83170319656672,0.3639778460517222,10534.423102544768,84.0,26.74,0.31211130231382955
0.65,0.65,0.7,0.7,3.1897169310218123,64,35.9375,4.983932704721643,10.38650887203507,0.20991754506321353,10318.971693102181,85.9375,22.421875,0.28485260448633853
0.8,0.8,0.6,0.6,4.177256997597506,65,32.30769230769231,6.426549227073145,14.691696693931435,0.29046572867440396,10417.72569975975,90.76923076923077,17.630769230769232,0.2809875920853522
0.7,0.7,0.7,0.7,2.22656814168613,62,35.483870967741936,3.5912389382035075,9.678214740226627,0.1491441656163178,10222.656814168613,85.48387096774194,22.822580645161292,0.27543200158340697
0.65,0.65,0.65,0.65,2.05855488050227,77,33.76623376623377,2.673447896756154,11.07636492866577,0.1427570082979421,10205.855488050227,89.6103896103896,17.2987012987013,0.2678896580269393
0.75,0.75,0.7,0.7,0.6424380888076303,62,37.096774193548384,1.0361904658187182,12.05368917920429,0.04265369623611134,10064.243808880763,83.87096774193549,21.193548387096776,0.25692129200752983
0.6,0.6,0.7,0.7,0.2745498208071149,67,32.83582089552239,0.4097758519509695,10.503934994312331,0.018236914652073406,10027.454982080711,86.56716417910447,23.074626865671643,0.24758566255085593
0.7,0.7,0.65,0.65,0.47454415448082726,73,30.136986301369863,0.6500604855902576,10.934298834413804,0.033565702441967174,10047.454415448083,89.04109589041096,17.876712328767123,0.24366012179603214
0.6,0.6,0.65,0.65,-1.0969274729013705,80,31.25,-1.3711593411267018,12.014494899122386,-0.0770297223330904,9890.307252709863,90.0,18.0625,0.22638032807684072
0.75,0.75,0.65,0.65,-1.677805649828042,72,30.555555555555557,-2.3302856247611317,13.601616812925919,-0.1178902469177932,9832.219435017196,87.5,17.875,0.2154076301941678
0.65,0.65,0.6,0.6,-3.409263440916493,81,29.629629629629626,-4.208967211007987,14.323339515504944,-0.2524726461974162,9659.07365590835,91.35802469135803,15.814814814814815,0.19172826184484182
0.7,0.7,0.6,0.6,-4.775777272672258,76,26.31578947368421,-6.283917464042361,14.013023459674379,-0.3608321223398688,9522.422272732774,90.78947368421053,16.473684210526315,0.1694192107033438
0.6,0.6,0.8,0.8,-6.555632042665911,44,36.36363636363637,-14.899163733331637,13.85968792055407,-0.5759142933165187,9344.436795733409,75.0,37.0,0.16119393938384913
0.6,0.6,0.6,0.6,-6.676626655806431,85,28.235294117647058,-7.854854889184055,15.486686948737244,-0.5013861673603992,9332.337334419357,91.76470588235294,16.41176470588235,0.14865209097855397
0.75,0.75,0.6,0.6,-6.794819954208961,75,26.666666666666668,-9.059759938945382,16.455549147828656,-0.5123315103034094,9320.518004579104,89.33333333333333,16.44,0.14200980419049922
